customer_id,total_spent,number_of_purchases,age
CUST1001,3807.95,32,36
CUST1002,9512.07,39,43
CUST1003,7346.74,49,20
CUST1004,6026.72,32,36
CUST1005,1644.58,4,37
CUST1006,1644.35,30,49
CUST1007,675.03,37,24
CUST1008,8675.14,23,58
CUST1009,6051.04,39,50
CUST1010,7109.92,45,57
CUST1011,303.79,15,56
CUST1012,9702.11,43,35
CUST1013,8341.18,29,57
CUST1014,2202.16,36,18
CUST1015,1900.07,13,28
CUST1016,1915.7,32,45
CUST1017,3112.0,7,42
CUST1018,5295.09,22,40
CUST1019,4376.26,28,48
CUST1020,2983.17,2,47
CUST1021,6157.34,42,59
CUST1022,1480.99,45,52
CUST1023,2992.23,6,24
CUST1024,3726.98,28,33
CUST1025,4615.09,28,43
CUST1026,7873.24,44,19
CUST1027,2076.77,44,18
CUST1028,5190.92,20,29
CUST1029,5964.9,30,22
CUST1030,559.86,11,54
CUST1031,6114.69,28,49
CUST1032,1788.19,25,26
CUST1033,744.01,39,58
CUST1034,9493.97,33,52
CUST1035,9659.76,1,36
CUST1036,8103.13,27,33
CUST1037,3115.68,13,20
CUST1038,1066.95,41,37
CUST1039,6873.91,3,41
CUST1040,4457.51,39,50
CUST1041,1308.18,6,41
CUST1042,5002.25,8,28
CUST1043,440.45,27,25
CUST1044,9102.27,9,53
CUST1045,2661.92,37,55
CUST1046,6658.97,33,57
CUST1047,3185.94,42,37
CUST1048,5248.67,44,52
CUST1049,5512.43,24,42
CUST1050,1930.06,15,52
CUST1051,9698.89,32,42
CUST1052,7773.81,32,46
CUST1053,9401.04,24,35
CUST1054,8958.79,41,63
CUST1055,6019.21,49,35
CUST1056,9226.55,49,19
CUST1057,976.08,12,52
CUST1058,2040.23,39,33
CUST1059,547.75,2,58
CUST1060,3320.77,3,53
CUST1061,3947.91,49,50
CUST1062,2786.36,37,21
CUST1063,8304.5,49,50
CUST1064,3631.86,17,31
CUST1065,2881.25,49,38
CUST1066,5472.69,2,37
CUST1067,1495.15,2,25
CUST1068,8041.75,28,24
CUST1069,838.05,23,20
CUST1070,9870.18,37,34
CUST1071,7745.22,32,50
CUST1072,2067.29,33,29
CUST1073,154.67,1,39
CUST1074,8173.07,19,39
CUST1075,7097.89,2,63
CUST1076,7317.17,44,47
CUST1077,7735.58,26,55
CUST1078,833.04,32,55
CUST1079,3648.81,6,62
CUST1080,1247.1,32,25
CUST1081,8644.72,4,44
CUST1082,6270.65,11,44
CUST1083,3375.89,17,51
CUST1084,729.23,38,38
CUST1085,3178.72,24,47
CUST1086,3319.31,5,50
CUST1087,7323.1,34,45
CUST1088,6411.82,6,64
CUST1089,8883.41,22,50
CUST1090,4774.93,11,22
CUST1091,1283.98,48,36
CUST1092,7161.12,16,21
CUST1093,7631.77,33,52
CUST1094,5656.64,9,34
CUST1095,7732.58,6,61
CUST1096,4988.58,16,45
CUST1097,5275.06,29,47
CUST1098,4332.66,3,46
CUST1099,351.65,20,63
CUST1100,1168.13,36,23
